group,displacement_mm,tensile_adhesion_kPa
Fr-PA-10,4.07793,9.71282
Fr-PA-10,4.10688,9.62619
Fr-PA-10,4.13335,9.55895
Fr-PA-10,4.16338,9.52244
Fr-PA-10,4.18989,9.48397
Fr-PA-10,4.21733,9.44615
Fr-PA-10,4.24463,9.42752
Fr-PA-10,4.27285,9.4102
Fr-PA-10,4.30015,9.40377
Fr-PA-10,4.32754,9.39101
Fr-PA-10,4.35659,9.37108
Fr-PA-10,4.38403,9.34099
Fr-PA-10,4.41294,9.28325
Fr-PA-10,4.43945,9.22298
Fr-PA-10,4.4666,9.20696
Fr-PA-10,4.49653,9.2038
Fr-PA-10,4.5229,9.19551
Fr-PA-10,4.54985,9.18461
Fr-PA-10,4.60571,9.1807
Fr-PA-10,4.60571,9.1807
Fr-PA-10,4.63379,9.1807
Fr-PA-10,4.66284,9.17623
Fr-PA-10,4.68931,9.17884
Fr-PA-10,4.71641,9.17623
Fr-PA-10,4.74619,9.17623
Fr-PA-10,4.77285,9.17623
Fr-PA-10,4.8001,9.17558
Fr-PA-10,4.8292,9.17949
Fr-PA-10,4.85566,9.17427
Fr-PA-10,4.88389,9.17688
Fr-PA-10,4.91265,9.17753
Fr-PA-10,4.93901,9.17623
Fr-PA-10,4.96899,9.17623
Fr-PA-10,4.99556,9.17306
Fr-PA-10,5.02285,9.17241
Fr-PA-10,5.05024,9.17688
Fr-PA-10,5.0791,9.17427
Fr-PA-10,5.10542,9.17558
Fr-PA-10,5.13525,9.17558
Fr-PA-10,5.16177,9.17371
Fr-PA-10,5.18906,9.17306
Fr-PA-10,5.2165,9.17623
Fr-PA-10,5.24551,9.17492
Fr-PA-10,5.27275,9.17688
Fr-PA-10,5.30186,9.17371
Fr-PA-10,5.32822,9.17492
Fr-PA-10,5.35527,9.17753
Fr-PA-10,5.38525,9.17492
Fr-PA-10,5.41191,9.17558
Fr-PA-10,5.43911,9.17492
Fr-PA-10,5.4689,9.17558
Fr-PA-10,5.49458,9.17492
Fr-PA-10,5.52192,9.17492
Fr-PA-10,5.55176,9.17492
Fr-PA-10,5.57773,9.17176
Fr-PA-10,5.60581,9.17045
Fr-PA-10,5.63481,9.17306
Fr-PA-10,5.66123,9.1698
Fr-PA-10,5.6896,9.16794
Fr-PA-10,5.71836,9.16794
Fr-PA-10,5.74478,9.16729
Fr-PA-10,5.77236,9.16663
Fr-PA-10,5.80147,9.16468
Fr-PA-10,5.82793,9.16337
Fr-PA-10,5.85557,9.16598
Fr-PA-10,5.8853,9.16403
Fr-PA-10,5.91152,9.16216
Fr-PA-10,5.93887,9.16729
Fr-PA-10,5.96807,9.16403
Fr-PA-10,5.99453,9.16086
Fr-PA-10,6.02271,9.16281
Fr-PA-10,6.05161,9.16021
Fr-PA-10,6.07813,9.16151
Fr-PA-10,6.10786,9.1589
Fr-PA-10,6.13428,9.15825
Fr-PA-10,6.16167,9.16021
Fr-PA-10,6.18901,9.15639
Fr-PA-10,6.21753,9.15443
Fr-PA-10,6.24482,9.15443
Fr-PA-10,6.27451,9.15313
Fr-PA-10,6.30093,9.15443
Fr-PA-10,6.32754,9.15378
Fr-PA-10,6.35737,9.15192
Fr-PA-10,6.38389,9.15061
Fr-PA-10,6.41113,9.14996
Fr-PA-10,6.43867,9.15061
Fr-PA-10,6.46758,9.15313
Fr-PA-10,6.49512,9.14866
Fr-PA-10,6.52397,9.14931
Fr-PA-10,6.5502,9.14931
Fr-PA-10,6.57773,9.14735
Fr-PA-10,6.60776,9.14996
Fr-PA-10,6.63408,9.14484
Fr-PA-10,6.66143,9.14549
Fr-PA-10,6.69121,9.14158
Fr-PA-10,6.71665,9.1359
Fr-PA-10,6.74419,9.13646
Fr-PA-10,6.77427,9.13264
Fr-PA-10,6.80005,9.13068
Fr-PA-10,6.82817,9.13012
Fr-PA-10,6.85713,9.12044
Fr-PA-10,6.88369,9.11662
Fr-PA-10,6.91162,9.11215
Fr-PA-10,6.94043,9.11215
Fr-PA-10,6.96709,9.11596
Fr-PA-10,6.99443,9.11215
Fr-PA-10,7.02349,9.1128
Fr-PA-10,7.05005,9.11727
Fr-PA-10,7.07803,9.11792
Fr-PA-10,7.10693,9.11857
Fr-PA-10,7.1334,9.12044
Fr-PA-10,7.16162,9.12239
Fr-PA-10,7.1898,9.12109
Fr-PA-10,7.21709,9.11978
Fr-PA-10,7.24438,9.1237
Fr-PA-10,7.27334,9.12304
Fr-PA-10,7.30078,9.12109
Fr-PA-10,7.32798,9.12239
Fr-PA-10,7.35586,9.12686
Fr-PA-10,7.3834,9.12435
Fr-PA-10,7.41338,9.12174
Fr-PA-10,7.4397,9.12239
Fr-PA-10,7.46689,9.12621
Fr-PA-10,7.49673,9.12556
Fr-PA-10,7.52227,9.12686
Fr-PA-10,7.55054,9.12947
Fr-PA-10,7.57974,9.13068
Fr-PA-10,7.60615,9.13133
Fr-PA-10,7.6335,9.13459
Fr-PA-10,7.66333,9.13525
Fr-PA-10,7.68921,9.13711
Fr-PA-10,7.71719,9.13646
Fr-PA-10,7.746,9.13906
Fr-PA-10,7.77275,9.14288
Fr-PA-10,7.8002,9.13972
Fr-PA-10,7.82998,9.14223
Fr-PA-10,7.85586,9.14158
Fr-PA-10,7.88398,9.13906
Fr-PA-10,7.91279,9.14102
Fr-PA-10,7.93931,9.14158
Fr-PA-10,7.9668,9.14866
Fr-PA-10,7.99658,9.14735
Fr-PA-10,8.02231,9.15061
Fr-PA-10,8.04995,9.15443
Fr-PA-10,8.07974,9.15704
Fr-PA-10,8.10625,9.15704
Fr-PA-10,8.13359,9.16151
Fr-PA-10,8.16255,9.16337
Fr-PA-10,8.18906,9.15639
Fr-PA-10,8.21733,9.15639
Fr-PA-10,8.24634,9.16216
Fr-PA-10,8.27275,9.16281
Fr-PA-10,8.3001,9.16598
Fr-PA-10,8.32993,9.1698
Fr-PA-10,8.35562,9.17241
Fr-PA-10,8.38389,9.17558
Fr-PA-10,8.41289,9.17753
Fr-PA-10,8.4394,9.18135
Fr-PA-10,8.46665,9.18517
Fr-PA-10,8.49609,9.18582
Fr-PA-10,8.52251,9.19094
Fr-PA-10,8.54956,9.1929
Fr-PA-10,8.57964,9.19225
Fr-PA-10,8.60571,9.19802
Fr-PA-10,8.63311,9.19933
Fr-PA-10,8.66304,9.20063
Fr-PA-10,8.68955,9.2051
Fr-PA-10,8.7167,9.20575
Fr-PA-10,8.74644,9.20827
Fr-PA-10,8.77236,9.21274
Fr-PA-10,8.80039,9.21339
Fr-PA-10,8.82954,9.21469
Fr-PA-10,8.85601,9.21786
Fr-PA-10,8.8834,9.21786
Fr-PA-10,8.91333,9.21665
Fr-PA-10,8.93887,9.21982
Fr-PA-10,8.96719,9.22112
Fr-PA-10,8.99629,9.22243
Fr-PA-10,9.02285,9.22494
Fr-PA-10,9.05029,9.2269
Fr-PA-10,9.07998,9.22876
Fr-PA-10,9.10557,9.22755
Fr-PA-10,9.13306,9.22876
Fr-PA-10,9.16304,9.23267
Fr-PA-10,9.18901,9.23006
Fr-PA-10,9.21655,9.23202
Fr-PA-10,9.24639,9.23006
Fr-PA-10,9.27285,9.23006
Fr-PA-10,9.30029,9.216
Fr-PA-10,9.33003,9.19029
Fr-PA-10,9.35542,9.17884
Fr-PA-10,9.38379,9.17306
