group,displacement_mm,peel_strength_2F_over_W_N_per_m
Fr-PA-10,4.20801,222.26777
Fr-PA-10,4.23452,223.19174
Fr-PA-10,4.26455,224.24238
Fr-PA-10,4.29106,226.25608
Fr-PA-10,4.31841,226.79446
Fr-PA-10,4.34575,226.70503
Fr-PA-10,4.37471,226.87082
Fr-PA-10,4.40127,226.84474
Fr-PA-10,4.4311,227.10183
Fr-PA-10,4.45747,228.02391
Fr-PA-10,4.48486,228.53806
Fr-PA-10,4.5124,229.02427
Fr-PA-10,4.54141,229.51233
Fr-PA-10,4.56782,229.92215
Fr-PA-10,4.5977,230.84612
Fr-PA-10,4.62422,231.14045
Fr-PA-10,4.65151,231.79429
Fr-PA-10,4.67891,232.9474
Fr-PA-10,4.70791,233.51183
Fr-PA-10,4.73447,234.29422
Fr-PA-10,4.76201,235.05054
Fr-PA-10,4.79121,235.5628
Fr-PA-10,4.81763,236.15334
Fr-PA-10,4.84556,237.20396
Fr-PA-10,4.8748,237.72929
Fr-PA-10,4.90151,238.33284
Fr-PA-10,4.92881,239.02395
Fr-PA-10,4.95796,239.39652
Fr-PA-10,4.98447,239.72998
Fr-PA-10,5.01235,241.06376
Fr-PA-10,5.04141,241.66546
Fr-PA-10,5.06812,242.63971
Fr-PA-10,5.09795,243.60094
Fr-PA-10,5.12451,243.55063
Fr-PA-10,5.15181,243.64007
Fr-PA-10,5.1792,244.57519
Fr-PA-10,5.20811,244.97385
Fr-PA-10,5.23457,245.60163
Fr-PA-10,5.2645,246.51256
Fr-PA-10,5.29106,247.14031
Fr-PA-10,5.31851,248.05124
Fr-PA-10,5.34585,248.79453
Fr-PA-10,5.37476,249.19131
Fr-PA-10,5.40117,248.91002
Fr-PA-10,5.43105,249.08886
Fr-PA-10,5.45767,249.84515
Fr-PA-10,5.48506,251.13983
Fr-PA-10,5.5123,252.6655
Fr-PA-10,5.54141,254.46126
Fr-PA-10,5.56787,255.29394
Fr-PA-10,5.59556,255.70378
Fr-PA-10,5.62456,255.64044
Fr-PA-10,5.65078,255.87142
Fr-PA-10,5.67915,256.52528
Fr-PA-10,5.70776,256.67803
Fr-PA-10,5.73442,256.76744
