method,n_items,scientific_correctness_0_4,source_groundedness_0_4,evidence_completeness_0_4,boundary_control_0_4,composite_0_4,normalized_percent,unsupported_claims_per_question,first_place_count,mean_rank
MS3 Agent,120,3.325,3.3,3.308333333333333,3.283333333333333,3.3041666666666667,82.60416666666667,1.2666666666666666,39,2.691666666666667
DeepSeek V4 Pro,120,2.625,2.7916666666666665,2.4916666666666667,2.716666666666667,2.65625,66.40625,1.9166666666666667,8,3.8833333333333333
Kimi K3,120,3.0,3.225,3.0,3.1333333333333333,3.089583333333333,77.23958333333333,1.525,27,2.8666666666666667
GLM-5.2,120,2.808333333333333,3.0166666666666666,2.7666666666666666,2.933333333333333,2.88125,72.03125,1.6833333333333333,21,3.066666666666667
PaperQA2,120,2.7333333333333334,2.683333333333333,2.7416666666666667,2.7,2.714583333333333,67.86458333333333,2.216666666666667,21,3.783333333333333
OpenScholar,120,2.2666666666666666,2.2666666666666666,2.1666666666666665,2.1333333333333333,2.2083333333333335,55.208333333333336,2.908333333333333,4,4.758333333333334
